gender,age,category,quantity,price,payment_method,datetime,shopping_mall,year,month
Male,42,Clothing,4,1200.32,Credit Card,2022-01-25,Istinye Park,2022,January
Female,56,Clothing,5,1500.4,Cash,2023-02-18,Zorlu Center,2023,February
Female,20,Clothing,2,600.16,Credit Card,2022-11-30,Viaport Outlet,2022,November
Male,46,Food & Beverage,4,20.92,Debit Card,2021-11-23,Istinye Park,2021,November
Female,32,Food & Beverage,2,10.46,Credit Card,2021-02-19,Metrocity,2021,February
Female,59,Books,5,75.75,Debit Card,2022-05-11,Cevahir AVM,2022,May
Male,34,Cosmetics,2,81.32,Cash,2021-11-27,Kanyon,2021,November
Female,51,Technology,1,1050.0,Cash,2022-12-31,Metrocity,2022,December
Female,19,Food & Beverage,1,5.23,Debit Card,2022-09-09,Emaar Square Mall,2022,September
Male,63,Clothing,5,1500.4,Cash,2021-10-31,Mall of Istanbul,2021,October
Female,61,Books,3,45.45,Cash,2023-04-03,Metrocity,2023,April
Female,36,Clothing,3,900.24,Cash,2021-06-15,Metropol AVM,2021,June
Female,46,Cosmetics,5,203.3,Cash,2022-02-17,Kanyon,2022,February
Female,67,Toys,5,179.2,Cash,2022-07-17,Metrocity,2022,July
Female,44,Cosmetics,5,203.3,Debit Card,2022-11-07,Zorlu Center,2022,November
Male,29,Cosmetics,2,81.32,Cash,2022-05-15,Metrocity,2022,May
Female,20,Clothing,2,600.16,Cash,2021-09-16,Mall of Istanbul,2021,September
Female,55,Clothing,3,900.24,Cash,2021-08-17,Metrocity,2021,August
Female,38,Shoes,2,1200.34,Credit Card,2022-10-25,Mall of Istanbul,2022,October
Female,54,Food & Beverage,3,15.69,Credit Card,2022-05-11,Metropol AVM,2022,May
Female,61,Clothing,1,300.08,Cash,2021-03-09,Mall of Istanbul,2021,March
Male,63,Clothing,1,300.08,Credit Card,2022-09-17,Mall of Istanbul,2022,September
Female,37,Clothing,4,1200.32,Cash,2022-03-22,Kanyon,2022,March
Female,58,Food & Beverage,5,26.15,Debit Card,2022-08-10,Forum Istanbul,2022,August
Female,40,Cosmetics,3,121.98,Credit Card,2022-08-14,Cevahir AVM,2022,August
Male,43,Cosmetics,4,162.64,Credit Card,2022-04-05,Mall of Istanbul,2022,April
Female,63,Clothing,4,1200.32,Debit Card,2022-03-05,Zorlu Center,2022,March
Female,18,Books,5,75.75,Cash,2021-09-19,Forum Istanbul,2021,September
Female,25,Souvenir,2,23.46,Cash,2021-11-29,Emaar Square Mall,2021,November
Female,41,Food & Beverage,3,15.69,Debit Card,2021-02-20,Mall of Istanbul,2021,February
Male,33,Cosmetics,3,121.98,Debit Card,2022-04-11,Kanyon,2022,April
Female,18,Shoes,3,1800.51,Cash,2022-09-01,Istinye Park,2022,September
Male,33,Technology,1,1050.0,Cash,2022-03-13,Kanyon,2022,March
Male,44,Food & Beverage,4,20.92,Debit Card,2022-02-07,Istinye Park,2022,February
Female,40,Toys,5,179.2,Cash,2022-05-01,Metropol AVM,2022,May
Female,27,Clothing,5,1500.4,Debit Card,2021-10-15,Kanyon,2021,October
Female,49,Toys,1,35.84,Credit Card,2022-12-11,Kanyon,2022,December
Female,47,Souvenir,2,23.46,Cash,2022-07-29,Forum Istanbul,2022,July
Male,41,Books,2,30.3,Credit Card,2021-06-20,Cevahir AVM,2021,June
Female,64,Clothing,1,300.08,Cash,2021-05-30,Cevahir AVM,2021,May
Male,21,Clothing,2,600.16,Credit Card,2021-02-01,Istinye Park,2021,February
Female,34,Clothing,2,600.16,Cash,2021-09-08,Istinye Park,2021,September
Female,35,Clothing,4,1200.32,Cash,2022-09-24,Mall of Istanbul,2022,September
Male,37,Clothing,2,600.16,Cash,2021-03-03,Istinye Park,2021,March
Female,52,Cosmetics,4,162.64,Credit Card,2022-01-27,Kanyon,2022,January
Male,38,Shoes,4,2400.68,Debit Card,2022-12-20,Istinye Park,2022,December
Female,27,Food & Beverage,3,15.69,Cash,2021-01-23,Kanyon,2021,January
Female,21,Cosmetics,3,121.98,Cash,2023-02-17,Metropol AVM,2023,February
Female,46,Cosmetics,1,40.66,Cash,2021-08-17,Kanyon,2021,August
Female,29,Food & Beverage,3,15.69,Cash,2022-03-02,Istinye Park,2022,March
Female,60,Toys,3,107.52,Debit Card,2022-06-19,Viaport Outlet,2022,June
Male,18,Toys,3,107.52,Cash,2022-04-24,Zorlu Center,2022,April
Female,29,Books,5,75.75,Cash,2022-06-03,Metrocity,2022,June
Female,52,Clothing,3,900.24,Debit Card,2021-12-22,Metropol AVM,2021,December
Female,29,Clothing,1,300.08,Cash,2021-10-02,Metropol AVM,2021,October
Female,67,Shoes,5,3000.85,Credit Card,2021-11-18,Kanyon,2021,November
Female,54,Clothing,2,600.16,Credit Card,2021-10-13,Metrocity,2021,October
Female,24,Food & Beverage,3,15.69,Cash,2021-11-21,Mall of Istanbul,2021,November
Female,47,Clothing,5,1500.4,Cash,2022-04-16,Mall of Istanbul,2022,April
Female,36,Cosmetics,5,203.3,Debit Card,2023-01-17,Metrocity,2023,January
Female,64,Food & Beverage,2,10.46,Cash,2022-10-28,Cevahir AVM,2022,October
Female,48,Shoes,2,1200.34,Cash,2022-11-12,Metropol AVM,2022,November
Female,54,Cosmetics,2,81.32,Cash,2021-05-18,Metrocity,2021,May
Male,51,Shoes,4,2400.68,Debit Card,2021-03-29,Mall of Istanbul,2021,March
Male,64,Shoes,1,600.17,Credit Card,2022-11-21,Istinye Park,2022,November
Female,30,Shoes,2,1200.34,Cash,2021-07-01,Kanyon,2021,July
Male,23,Food & Beverage,1,5.23,Cash,2022-12-07,Istinye Park,2022,December
Female,44,Food & Beverage,3,15.69,Cash,2022-07-19,Istinye Park,2022,July
Male,47,Clothing,5,1500.4,Cash,2021-08-18,Mall of Istanbul,2021,August
Female,22,Clothing,4,1200.32,Credit Card,2022-01-02,Kanyon,2022,January
Female,66,Souvenir,3,35.19,Debit Card,2022-04-03,Forum Istanbul,2022,April
Female,64,Clothing,2,600.16,Cash,2021-06-09,Kanyon,2021,June
Female,37,Food & Beverage,4,20.92,Cash,2022-12-15,Metrocity,2022,December
Female,38,Clothing,5,1500.4,Credit Card,2022-07-16,Mall of Istanbul,2022,July
Female,56,Food & Beverage,5,26.15,Cash,2022-10-27,Viaport Outlet,2022,October
Male,30,Clothing,3,900.24,Credit Card,2021-04-17,Istinye Park,2021,April
Female,18,Clothing,1,300.08,Cash,2021-02-28,Forum Istanbul,2021,February
Female,41,Books,4,60.6,Credit Card,2021-04-01,Metrocity,2021,April
Male,53,Clothing,3,900.24,Cash,2022-10-12,Metropol AVM,2022,October
Female,65,Books,1,15.15,Cash,2022-07-01,Istinye Park,2022,July
Female,37,Food & Beverage,3,15.69,Debit Card,2022-10-14,Emaar Square Mall,2022,October
Male,30,Clothing,2,600.16,Cash,2022-11-20,Metrocity,2022,November
Female,56,Toys,3,107.52,Cash,2022-12-06,Emaar Square Mall,2022,December
Female,43,Clothing,4,1200.32,Cash,2021-01-07,Mall of Istanbul,2021,January
Female,27,Clothing,1,300.08,Credit Card,2022-08-27,Metropol AVM,2022,August
Male,53,Books,5,75.75,Debit Card,2021-05-26,Metrocity,2021,May
Female,56,Shoes,4,2400.68,Credit Card,2022-02-08,Viaport Outlet,2022,February
Female,33,Toys,1,35.84,Cash,2021-08-23,Kanyon,2021,August
